Accident Year;Development Year;Incurred
1998;1998;37017487
1998;1999;43169009
1998;2000;45568919
1998;2001;46784558
1998;2002;47337318
1998;2003;47533264
1998;2004;47634419
1998;2005;47689655
1998;2006;47724678
1998;2007;47742304
1999;1999;38954484
1999;2000;46045718
1999;2001;48882924
1999;2002;50219672
1999;2003;50729292
1999;2004;50926779
1999;2005;51069285
1999;2006;51163540
1999;2007;51185767
2000;2000;41155776
2000;2001;49371478
2000;2002;52358476
2000;2003;53780322
2000;2004;54303086
2000;2005;54582950
2000;2006;54742188
2000;2007;54837929
2001;2001;42394069
2001;2002;50584112
2001;2003;53704296
2001;2004;55150118
2001;2005;55895583
2001;2006;56156727
2001;2007;56299562
2002;2002;44755243
2002;2003;52971643
2002;2004;56102312
2002;2005;57703851
2002;2006;58363564
2002;2007;58592712
2003;2003;45163102
2003;2004;52497731
2003;2005;55468551
2003;2006;57015411
2003;2007;57565344
2004;2004;45417309
2004;2005;52640322
2004;2006;55553673
2004;2007;56976657
2005;2005;46360869
2005;2006;53790061
2005;2007;56786410
2006;2006;46582684
2006;2007;54641339
2007;2007;48853563
